Accession,Strain_name,Year,Subtype,Host,Country,clade_global_phylogeny,general comments,tool_classification,"tool_mismatch (0=match, 999=noMatch)",clade_1A_MLsubset,match_1A_ML,clade_1B_MLsubset,match_1B_ML,clade_1C_MLsubset,match_1C_ML,clade_1A_MBsubset,match_1A_MB,clade_1B_MBsubset,match_1B_MB,clade_1C_MBsubset,match_1C_MB
KR870297,A/swine/Chile/9271617/2012,2012,H1N2,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,1B.2,match,,
KR870299,A/swine/Chile/9271633/2012,2012,H1N1,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
KR870300,A/swine/Chile/9271642/2012,2012,H1N2,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,1B.2,match,,
KR870302,A/swine/Chile/9313891/2012,2012,H1N1,Swine,Chile,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
KR870305,A/swine/Chile/9313894/2012,2012,H1N1,Swine,Chile,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
KR870308,A/swine/Chile/9313897/2012,2012,H1N1,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
KR870309,A/swine/Chile/9313898/2012,2012,H1N1,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,1B.2,match,,
KR870310,A/swine/Chile/9313899/2012,2012,H1N1,Swine,Chile,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,1B.2,match,,
KR919626,A/swine/Nebraska/A01847898/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR919733,A/swine/Kansas/A01377531/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR919736,A/swine/Kansas/A01377560/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR919739,A/swine/Kansas/A01377559/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KR982591,A/swine/Iowa/A02076654/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KR982594,A/swine/Nebraska/A01554747/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KR982597,A/swine/Illinois/A02077350/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KR982600,A/swine/Arkansas/A02077488/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR982606,A/swine/Iowa/A02077467/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
KR982609,A/swine/Iowa/A02077346/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KR982612,A/swine/North_Carolina/A02076670/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KR982615,A/swine/Iowa/A02076786/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR982618,A/swine/Illinois/A02077404/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR982621,A/swine/Indiana/A02077457/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KR982627,A/swine/Indiana/A02024006/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KR982630,A/swine/Iowa/A02077564/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
KR982633,A/swine/Michigan/A02077465/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KR982639,A/swine/Iowa/A02076598/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR982642,A/swine/Iowa/A02076563/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KR982648,A/swine/Iowa/A02076564/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KR982657,A/swine/Indiana/A02077486/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KR982660,A/swine/North_Carolina/A02076661/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KR982666,A/swine/North_Carolina/A02077383/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KR982669,A/swine/Oklahoma/A01554617/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT000052,A/swine/North_Carolina/A02077509/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KT000055,A/swine/Oklahoma/A02076821/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT000058,A/swine/North_Carolina/A02077501/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT000061,A/swine/North_Carolina/A02076838/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT000064,A/swine/Oklahoma/A02076844/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT000067,A/swine/North_Carolina/A02077502/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KT000073,A/swine/Minnesota/A02076858/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT000076,A/swine/Minnesota/A02077496/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT006367,A/swine/Minnesota/A01822111/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT036438,A/swine/Illinois/A01820488/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT036441,A/swine/SouthDakota/A01471462/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT099102,A/swine/Iowa/A01822297/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT099105,A/swine/Iowa/A01822318/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT099114,A/swine/Minnesota/A01847951/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT157812,A/swine/Minnesota/A01471412/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT157815,A/swine/South_Dakota/A01471467/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT157818,A/swine/Illinois/A01820748/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT164856,A/swine/North_Carolina/A02077689/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KT164862,A/swine/Indiana/A02077603/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT164865,A/swine/Iowa/A02077588/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT164868,A/swine/Iowa/A02077681/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT164871,A/swine/Minnesota/A02076882/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT164874,A/swine/Iowa/A02077617/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT164877,A/swine/Iowa/A02024228/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT164890,A/swine/Illinois/A02076884/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT164899,A/swine/Pennsylvania/A01554941/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT164902,A/swine/Indiana/A01554928/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT164905,A/swine/Iowa/A02076596/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT164995,A/swine/Nebraska/A01822081/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT164998,A/swine/Illinois/A01822445/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT165001,A/swine/Nebraska/A01822263/2015,2015,H1N2,Swine,USA,1A.2,,1A.2,0,,,,,,,,,,,,
KT165004,A/swine/Nebraska/A01822327/2015,2015,H1N1,Swine,USA,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
KT165011,A/swine/Indiana/A01260875/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT198615,A/swine/North_Carolina/A02076883/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT198624,A/swine/Indiana/A02077734/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT198627,A/swine/Arkansas/A02024656/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT198630,A/swine/Indiana/A02077758/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT198633,A/swine/North_Carolina/A02024435/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT198636,A/swine/Iowa/A02024381/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT198639,A/swine/Iowa/A02077731/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT198642,A/swine/Arkansas/A02024371/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT198645,A/swine/Illinois/A02077877/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT198651,A/swine/Illinois/A02024646/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT208385,A/swine/South_Dakota/A01822614/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT208388,A/swine/Indiana/A01260877/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT221090,A/swine/Illinois/A01820797/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT240365,A/swine/South_Dakota/A01822754/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
KT240371,A/swine/Minnesota/A01823073/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT240374,A/swine/Iowa/A01822769/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT240380,A/swine/Minnesota/A01822905/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT240383,A/swine/South_Dakota/A01822916/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT240386,A/swine/South_Dakota/A01823076/2015,2015,H1N1,Swine,USA,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,1A.3.3.2,match,,,,
KT259327,A/swine/North_Carolina/A02077953/2015,2015,H1N1,Swine,USA,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
KT259330,A/swine/Indiana/A02077934/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT259333,A/swine/Iowa/A02077950/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT259336,A/swine/Iowa/A02076898/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT259384,A/swine/Minnesota/A01847917/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT259390,A/swine/South_Dakota/A01822640/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT259393,A/swine/Illinois/A01820879/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT274674,A/swine/Oklahoma/A02024960/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT274677,A/swine/Arkansas/A02024832/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT274683,A/swine/Arkansas/A02035008/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT274686,A/swine/Nebraska/A01471818/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT274689,A/swine/South_Dakota/A01471898/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT277816,A/swine/Nebraska/A01822990/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT277819,A/swine/South_Dakota/A01823304/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT277822,A/swine/Illinois/A01823191/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT304317,A/swine/Illinois/A02024907/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT304320,A/swine/Iowa/A02035127/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT304323,A/swine/Illinois/A02034081/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT306744,A/swine/Illinois/A02090002/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT306747,A/swine/Illinois/A02090081/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT313455,A/swine/Minnesota/A01472033/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT313458,A/swine/South_Dakota/A01823125/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT313464,A/swine/South_Dakota/A01823237/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
KT327334,A/swine/Illinois/A02035327/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT327345,A/swine/Indiana/A02025101/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT327348,A/swine/Illinois/A02034146/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT327351,A/swine/Iowa/A02035332/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT327354,A/swine/Illinois/A02024782/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT327357,A/swine/Iowa/A02035112/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT327360,A/swine/Missouri/A02076915/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT338307,A/swine/Minnesota/A01472283/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
KT338329,A/mallard/Alaska/138/2014,2014,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT338357,A/American_green_winged_teal/Alaska/386/2014,2014,H1N1,American_Green_Winged_Teal,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT338428,A/mallard/Alaska/494/2014,2014,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT338468,A/northern_pintail/Alaska/576/2014,2014,H1N1,Northern_Pintail,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT338529,A/glaucous_winged_gull/Alaska/800/2014,2014,H1N1,Gull,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT356648,A/swine/Illinois/A00843249/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT356682,A/swine/South_Dakota/A01823598/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
KT356685,A/swine/Iowa/A01823446/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT356694,A/swine/Iowa/A01823426/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT356697,A/swine/Iowa/A02025166/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT356703,A/swine/Iowa/A02025170/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT356712,A/swine/Pennsylvania/A02035484/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT362190,A/swine/Italy/13_163032/2013,2013,H1N2,Swine,Italy,1C.2,,1C.2,0,,,,,1C.2,match,,,,,1C.2,match
KT362191,A/swine/Italy/14_30549/2014,2014,H1N1,Swine,Italy,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
KT374220,A/swine/Illinois/A02090176/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT374223,A/swine/Illinois/A02090072/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT426695,A/swine/South_Dakota/A01472720/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT429528,A/swine/Illinois/A02025300/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT429531,A/swine/Iowa/A02076932/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,1A.1.1,match,,,,
KT429534,A/swine/North_Carolina/A02034477/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT429537,A/swine/Iowa/A02025218/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT429540,A/swine/North_Carolina/A02076926/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT429546,A/swine/North_Carolina/A02035721/2015,2015,H1N1,Swine,USA,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
KT429549,A/swine/Illinois/A02025282/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT446412,A/swine/Minnesota/D09_21045_4/2009,2009,H1N1,Swine,USA,1A.2,,1A.2,0,1A.2,match,,,,,,,,,,
KT446446,A/swine/Iowa/A02076935/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT446449,A/swine/Iowa/A02076921/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT446452,A/swine/Illinois/A02034785/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT446455,A/swine/North_Carolina/A02034873/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT446461,A/swine/North_Carolina/A02035808/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KT446464,A/swine/Iowa/A02025359/2015,2015,H1N2,Swine,USA,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,1A.1.1,match,,,,
KT446467,A/swine/Iowa/A02025399/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT580860,A/swine/Indiana/A01260888/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT580868,A/swine/Indiana/A01260885/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT580884,A/swine/Indiana/A01260906/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT580908,A/swine/Indiana/A01260910/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT583607,A/swine/South_Dakota/A01472919/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT583610,A/swine/South_Dakota/A01472959/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT583613,A/swine/Iowa/A01472992/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT589344,A/swine/Illinois/A00857138b/2011,2011,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT589360,A/swine/Illinois/A00857300/2011,2011,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT589368,A/swine/Illinois/A00857138a/2011,2011,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT595700,A/swine/North_Carolina/A02035922/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT595706,A/swine/North_Carolina/A02025430/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT595712,A/swine/Iowa/A02025416/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT595721,A/swine/South_Dakota/A02025413/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,1B.2.2.2,match,,,,,1B.2.2.2,match,,
KT595727,A/swine/North_Carolina/A02034933/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT595730,A/swine/North_Carolina/A01769110/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT595733,A/swine/Minnesota/A01940015/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
KT633512,A/swine/South_Dakota/A01472948/2015,2015,H1N2,Swine,USA,1B.2.2.2,,1B.2.2.2,0,,,,,,,,,,,,
KT694098,A/swine/Indiana/A01260897/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
KT694115,A/swine/Indiana/A01260896/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,,,,,,,,,,
KT694122,A/swine/Indiana/A01260890/2015,2015,H1N2,Swine,USA,1B.2.1,,1B.2.1,0,,,1B.2.1,match,,,,,1B.2.1,match,,
KT699044,A/swine/Iowa/A01940123/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT699047,A/swine/Minnesota/A01823870/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,1B.2.2.1,match,,,,,1B.2.2.1,match,,
KT699050,A/swine/Minnesota/A01823864/2015,2015,H1N2,Swine,USA,1B.2.2.1,,1B.2.2.1,0,,,,,,,,,,,,
KT714237,A/swine/Illinois/A02090437/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT714240,A/swine/Illinois/A02090531/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT714243,A/swine/Illinois/A02090412/2015,2015,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
KT715448,A/duck/Bavaria/1/1977,1977,H1N1,Duck,Germany,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
KT715451,A/swine/Arnsberg/6554/1979,1979,H1N1,Swine,Germany,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
